mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
6.650120639801026,0.06905136108398438,0.953411349083683,0.9648929229990678,0.5,0.5,0.01,8,6,1000,0.9,"{'colsample_bytree': 0.5, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 8, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.9}",4,0.9558985667034179,0.9638321369409166,0.9503311258278145,0.9674303063759315,0.9613686534216336,0.9646701628484681,0.9502762430939227,0.9627483443708609,0.949171270718232,0.9657836644591612,0.27311561549059765,0.0012660257836651968,0.004621679027568022,0.001612813776499859
6.88328070640564,0.07125139236450195,0.953411349083683,0.9652793126445746,0.5,0.5,0.01,10,6,1000,0.9,"{'colsample_bytree': 0.5, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 10, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.9}",4,0.9558985667034179,0.9643843180563225,0.9503311258278145,0.9674303063759315,0.9613686534216336,0.9649461772012145,0.9502762430939227,0.9630242825607064,0.949171270718232,0.9666114790286976,0.0626458059676172,0.0034892294175368054,0.004621679027568022,0.001574712451408073
6.903700113296509,0.06905193328857422,0.9536321483771252,0.9652241250066055,0.5,0.5,0.01,14,6,1000,0.9,"{'colsample_bytree': 0.5, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 14, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.9}",2,0.9558985667034179,0.9643843180563225,0.9503311258278145,0.9674303063759315,0.9613686534216336,0.9649461772012145,0.9502762430939227,0.9627483443708609,0.9502762430939227,0.9666114790286976,0.09071987863571968,0.001266369168520513,0.0044365221977626145,0.001655536642274627
6.555246591567993,0.07125167846679688,0.9523073526164716,0.9753809356079796,0.5,0.5,0.03,8,6,1000,0.9,"{'colsample_bytree': 0.5, 'gamma': 0.5, 'learning_rate': 0.03, 'max_depth': 8, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.9}",12,0.9525909592061742,0.9751518498067366,0.9481236203090507,0.9757107369583218,0.9602649006622517,0.9765387800165609,0.9469613259668508,0.9751655629139073,0.9535911602209944,0.9743377483443708,0.05023629200767167,0.001328264721989425,0.004714361844756523,0.0007261512203128501
6.723966979980469,0.07605547904968261,0.9527489512033561,0.9759329643387055,0.5,0.5,0.03,10,6,1000,0.9,"{'colsample_bytree': 0.5, 'gamma': 0.5, 'learning_rate': 0.03, 'max_depth': 10, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.9}",10,0.9525909592061742,0.9759801214798454,0.9470198675496688,0.9759867513110682,0.9624724061810155,0.9773668230747999,0.9480662983425414,0.9759933774834437,0.9535911602209944,0.9743377483443708,0.03343022847773727,0.012530703560728839,0.005477913011660622,0.0009601491057194332
6.820238828659058,0.07065153121948242,0.953411349083683,0.9757674014163872,0.5,0.5,0.03,14,6,1000,0.9,"{'colsample_bytree': 0.5, 'gamma': 0.5, 'learning_rate': 0.03, 'max_depth': 14, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.9}",4,0.9547960308710033,0.9757040309221424,0.9481236203090507,0.9759867513110682,0.9624724061810155,0.9779188517802926,0.9480662983425414,0.9751655629139073,0.9535911602209944,0.9740618101545254,0.10931551629613338,0.001625899068853793,0.005302521196660384,0.0012611201370045972
6.675342988967896,0.06464715003967285,0.953411349083683,0.9646169086379102,0.5,1,0.01,8,6,1000,0.9,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 8, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.9}",4,0.9547960308710033,0.9635560463832137,0.9503311258278145,0.9674303063759315,0.9624724061810155,0.963842119790229,0.9480662983425414,0.96219646799117,0.9513812154696133,0.9660596026490066,0.06135788125027923,0.0010213586615029232,0.005023798865426756,0.001875144381016032
6.992769336700439,0.06844897270202636,0.9536321483771252,0.9646169086379102,0.5,1,0.01,10,6,1000,0.9,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 10, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.9}",2,0.9547960308710033,0.9635560463832137,0.9514348785871964,0.9671542920231853,0.9624724061810155,0.9641181341429754,0.9480662983425414,0.96219646799117,0.9513812154696133,0.9660596026490066,0.06607738001997959,0.0027302291587851316,0.004906453740187989,0.0017749601740970266
6.919909429550171,0.06524715423583985,0.9531905497902406,0.9646720962758792,0.5,1,0.01,14,6,1000,0.9,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 14, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.9}",8,0.9547960308710033,0.9635560463832137,0.9492273730684326,0.9674303063759315,0.9624724061810155,0.963842119790229,0.9480662983425414,0.9624724061810155,0.9513812154696133,0.9660596026490066,0.08882356217659994,0.0007490675213561094,0.0051762662971262755,0.0018058771682809562
6.541641092300415,0.06024370193481445,0.9525281519099139,0.970964919085582,0.5,1,0.03,8,6,1000,0.9,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.03, 'max_depth': 8, 'min_child_weight': 6, 'n_estimators': 1000, 'subsample': 0.9}",11,0.9547960308710033,0.9707344008834898,0.9459161147902869,0.9729505934308584,0.9624724061810155,0.9699144355506486,0.9447513812154696,0.9707505518763797,0.9546961325966851,0.9704746136865342,0.06731695388876295,0.001327934149184097,0.0065254814630845105,0.0010378737484749835
